dataset_index,sid,season,name,recurv_time,box_hit,minimum_proxy_distance_km,recurv_index,recurv_lat,recurv_lon,legacy_pre_zonal_km_per_increment,legacy_post_zonal_km_per_increment
10905,1996187N10326,1996,BERTHA,1996-07-13 03:00:00,True,87.8012168011563,66,35.7977294921875,-77.34847259521484,16.725714559530843,33.34512355524943
10927,1996233N12340,1996,EDOUARD,1996-09-02 06:00:00,False,451.02793881162205,108,39.79999923706055,-69.4000015258789,14.294991511224728,36.83382603767949
10935,1996248N15319,1996,HORTENSE,1996-09-13 12:00:00,True,199.33858990628383,80,29.0,-70.9000015258789,11.677041400730676,30.08947730615975
10950,1996279N23264,1996,JOSEPHINE,1996-10-06 06:00:00,True,50.17194646347882,12,25.0,-94.50000762939453,22.381569065987364,53.08381067305115
11039,1997198N27267,1997,DANNY,1997-07-23 00:00:00,False,458.5417854800294,53,34.0,-86.0,11.870193279385553,30.802775748582622
11150,1998232N15312,1998,BONNIE,1998-08-27 18:00:00,True,345.67368586084683,67,35.400001525878906,-76.5999984741211,18.90906928092506,30.847330494884822
11154,1998236N13326,1998,DANIELLE,1998-09-01 03:00:00,True,335.0086215932142,63,31.329959869384766,-73.02253723144531,19.25120166535239,30.754453661502986
11157,1998244N22267,1998,EARL,1998-09-01 12:00:00,True,43.4396901685187,8,25.0,-93.10000610351562,13.308105509531625,30.955143777618026
11283,1999251N15314,1999,FLOYD,1999-09-16 06:00:00,True,50.06613577976072,69,33.70000076293945,-78.0,18.683105958207562,33.555383615371916
11286,1999255N13336,1999,GERT,1999-09-21 15:00:00,True,123.11140952510983,81,31.969846725463867,-62.40176010131836,7.189911847298694,32.6417230829539
11297,1999286N16278,1999,IRENE,1999-10-17 12:00:00,True,292.2334029969811,43,31.19999885559082,-79.69999694824219,0.804246629195392,35.11831678735203
11394,2000255N31289,2000,FLORENCE,2000-09-15 03:00:00,True,230.13284801024793,35,29.08954429626465,-72.6667251586914,14.542370794018264,38.7602141537139
11398,2000260N15308,2000,HELENE,2000-09-22 09:00:00,True,275.92359036890406,55,29.99970054626465,-86.98950958251953,-2.4679570084834896,43.00225653228638
11409,2000290N30289,2000,MICHAEL,2000-10-18 09:00:00,True,38.6781424735377,23,31.097299575805664,-70.65935516357422,2.391341252939139,30.71342013178107
11475,2001235N18296,2001,DEAN,2001-08-24 15:00:00,True,284.6007891356789,17,29.509872436523438,-70.51029205322266,2.491180274545419,31.15465844523402
11481,2001245N13326,2001,ERIN,2001-09-11 18:00:00,True,71.99245673474779,80,37.79999923706055,-65.0999984741211,10.101767438765284,34.98413452906255
11489,2001255N26276,2001,GABRIELLE,2001-09-14 03:00:00,True,129.56824910194624,19,25.50224494934082,-83.89414978027344,20.09412264017383,37.42729447785074
11496,2001265N25296,2001,HUMBERTO,2001-09-24 09:00:00,False,580.7096502085661,23,34.40729522705078,-66.59471893310547,14.012939552215666,31.832857041726708
11599,2002252N29289,2002,GUSTAV,2002-09-10 18:00:00,True,43.014544767265754,18,35.0,-75.4000015258789,3.243045037039857,33.50385993265587
11698,2003240N15329,2003,FABIAN,2003-09-05 21:00:00,False,519.2231244228198,73,32.61506271362305,-65.05299377441406,-4.865757457061493,30.123888426266006
11712,2003269N12322,2003,KATE,2003-10-06 15:00:00,False,399.26049413358925,87,36.049747467041016,-55.34381866455078,13.842581250484072,35.4323154894614
11785,2004214N30282,2004,ALEX,2004-08-02 21:00:00,False,430.1127753325542,17,32.09236526489258,-78.48728942871094,16.607254924656296,30.48805294442279
11801,2004238N11325,2004,FRANCES,2004-09-08 03:00:00,False,503.27638879554735,120,33.78208923339844,-84.55033111572266,11.678183702959707,34.214216542978036
11806,2004241N32282,2004,GASTON,2004-08-30 12:00:00,True,170.4604456137402,25,35.599998474121094,-78.69999694824219,13.297055001930662,37.68261955115639
11884,2005185N18273,2005,CINDY,2005-07-06 03:00:00,False,337.43019409320124,20,29.200000762939453,-90.10000610351562,2.4226603859958935,33.71242363810548
11891,2005203N25285,2005,FRANKLIN,2005-07-23 06:00:00,True,210.31974376789813,12,28.69999885559082,-76.0999984741211,9.646764602820452,31.811523950496877
11898,2005217N13327,2005,IRENE,2005-08-15 00:00:00,False,559.1003932561229,82,34.900001525878906,-69.5,8.730315756903666,35.643544366947765
11914,2005249N26281,2005,OPHELIA,2005-09-09 12:00:00,True,68.31897007584908,27,29.299999237060547,-79.0999984741211,3.5990763898828124,30.074985832520326
11987,2006161N20275,2006,ALBERTO,2006-06-12 03:00:00,True,48.28220789937805,15,25.377201080322266,-87.68194580078125,-0.005745274667842026,37.44669033337894
11997,2006198N37291,2006,NOT_NAMED,2006-07-17 03:00:00,True,19.016678286636942,5,38.67765426635742,-67.05245208740234,24.17591532201653,53.89913003337596
11998,2006200N32287,2006,BERYL,2006-07-20 21:00:00,True,93.8652919740425,19,39.419498443603516,-72.2081527709961,15.226739921357177,42.528249779974075
12021,2006247N14321,2006,FLORENCE,2006-09-11 12:00:00,True,63.180122819257946,62,32.400001525878906,-65.69999694824219,3.8326563066223893,33.482920900247095
12037,2006271N26307,2006,ISAAC,2006-10-01 18:00:00,True,100.23603747845183,32,35.20000076293945,-60.29999923706055,-7.4758479550229975,32.75918647995602
12136,2007297N18300,2007,NOEL,2007-11-01 17:45:00,True,377.4098066487304,72,25.0,-77.4000015258789,11.29465255287797,34.087558884537145
12195,2008201N32280,2008,CRISTOBAL,2008-07-20 18:00:00,True,507.0976345006392,14,34.5,-76.0999984741211,28.202220089457594,34.69612088782374
12213,2008241N19303,2008,HANNA,2008-09-06 09:00:00,True,52.89290714234958,77,34.58051300048828,-78.49800872802734,8.08193974688221,44.839026802679626
12224,2008269N21290,2008,KYLE,2008-09-28 03:00:00,True,230.164441038174,25,36.349639892578125,-69.5810775756836,-4.71918913066611,32.871054613772415
12306,2009227N12328,2009,BILL,2009-08-22 21:00:00,True,53.509483344708876,61,37.04221725463867,-68.73932647705078,-11.610440848620083,34.766942968103876
12402,2010236N12341,2010,EARL,2010-09-03 03:00:00,True,25.769628841097262,81,33.72758865356445,-74.59510803222656,-2.4815823239378023,34.3138559481439
12412,2010251N14337,2010,IGOR,2010-09-20 03:00:00,True,77.5273827459985,95,32.48979187011719,-65.5086441040039,-2.473992021254547,34.70177805388632
12497,2011233N15301,2011,IRENE,2011-08-28 00:00:00,True,322.3214909343362,59,36.70000076293945,-75.69999694824219,15.198504592692721,33.91721703470229
12501,2011240N10341,2011,KATIA,2011-09-08 21:00:00,False,480.39020592380973,95,34.834835052490234,-69.75947570800781,2.2714774261996156,36.053092994209784
12507,2011250N12324,2011,MARIA,2011-09-15 09:00:00,True,86.19065097229367,69,29.75994110107422,-68.12841033935547,22.2194853015883,35.580990069373506
12511,2011263N12323,2011,OPHELIA,2011-10-02 12:00:00,True,98.562278659181,98,37.400001525878906,-61.599998474121094,19.29697024113033,34.34616375469289
12526,2011310N29290,2011,SEAN,2011-11-10 12:00:00,False,563.1721066145432,36,30.200002670288086,-70.69999694824219,-5.279665084801173,30.85262750792868
12593,2012242N13333,2012,LESLIE,2012-09-10 06:00:00,True,107.85373089040841,102,35.099998474121094,-61.599998474121094,13.433213481148806,33.934727926359116
12613,2012287N15297,2012,RAFAEL,2012-10-16 12:00:00,False,488.34840672395967,30,27.600000381469727,-64.9000015258789,15.280850628103778,34.76518211329831
